COMMON_NAME,SCIENTIFIC_NAME,order,family
Black-backed Oriole,Icterus abeillei,Passeriformes,Icteridae (Troupials and Allies)
Flame-colored Tanager,Piranga bidentata,Passeriformes,Cardinalidae (Cardinals and Allies)
Yellow-faced Grassquit,Tiaris olivaceus,Passeriformes,Thraupidae (Tanagers and Allies)
Chilean Flamingo,Phoenicopterus chilensis,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Elegant Trogon,Trogon elegans,Trogoniformes,Trogonidae (Trogons)
Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose)
Papuan Boobook,Ninox theomacha,Strigiformes,Strigidae (Owls)
Black-throated Magpie-Jay,Calocitta colliei,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Broad-tailed Paradise-Whydah,Vidua obtusa,Passeriformes,Viduidae (Indigobirds)
Burrowing Parakeet,Cyanoliseus patagonus,Psittaciformes,Psittacidae (New World and African Parrots)
Cinnamon-rumped Seedeater,Sporophila torqueola,Passeriformes,Thraupidae (Tanagers and Allies)
Dusky Warbler,Phylloscopus fuscatus,Passeriformes,Phylloscopidae (Leaf Warblers)
Gouldian Finch,Erythrura gouldiae,Passeriformes,Estrildidae (Waxbills and Allies)
Green-winged Pytilia,Pytilia melba,Passeriformes,Estrildidae (Waxbills and Allies)
Japanese White-eye,Zosterops japonicus,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
Orange-fronted Parakeet,Eupsittula canicularis,Psittaciformes,Psittacidae (New World and African Parrots)
Venezuelan Troupial,Icterus icterus,Passeriformes,Icteridae (Troupials and Allies)
White-throated Magpie-Jay,Calocitta formosa,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Blue-black Grassquit,Volatinia jacarina,Passeriformes,Thraupidae (Tanagers and Allies)
Yellow-billed Cardinal,Paroaria capitata,Passeriformes,Thraupidae (Tanagers and Allies)
Steller's Eider,Polysticta stelleri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-and-white Mannikin,Spermestes bicolor,Passeriformes,Estrildidae (Waxbills and Allies)
Long-tailed Mockingbird,Mimus longicaudatus,Passeriformes,Mimidae (Mockingbirds and Thrashers)
European Greenfinch,Chloris chloris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Arizona Woodpecker,Dryobates arizonae,Piciformes,Picidae (Woodpeckers)
Berylline Hummingbird,Amazilia beryllina,Caprimulgiformes,Trochilidae (Hummingbirds)
Buff-breasted Flycatcher,Empidonax fulvifrons,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Plain-capped Starthroat,Heliomaster constantii,Caprimulgiformes,Trochilidae (Hummingbirds)
Sinaloa Wren,Thryophilus sinaloa,Passeriformes,Troglodytidae (Wrens)
Tufted Flycatcher,Mitrephanes phaeocercus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Whiskered Screech-Owl,Megascops trichopsis,Strigiformes,Strigidae (Owls)
White-rumped Shama,Copsychus malabaricus,Passeriformes,Muscicapidae (Old World Flycatchers)
Cut-throat,Amadina fasciata,Passeriformes,Estrildidae (Waxbills and Allies)
European Robin,Erithacus rubecula,Passeriformes,Muscicapidae (Old World Flycatchers)
White-necked Raven,Corvus albicollis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Streak-backed Oriole,Icterus pustulatus,Passeriformes,Icteridae (Troupials and Allies)
Cassia Crossbill,Loxia sinesciuris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Congo Peacock,Afropavo congensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Brown-chested Martin,Progne tapera,Passeriformes,Hirundinidae (Swallows)
Lady Amherst's Pheasant,Chrysolophus amherstiae,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Common Cuckoo,Cuculus canorus,Cuculiformes,Cuculidae (Cuckoos)
Lemon Dove,Columba larvata,Columbiformes,Columbidae (Pigeons and Doves)
Arctic Loon,Gavia arctica,Gaviiformes,Gaviidae (Loons)
